subid,counter,trialtype,percentage,colorasked,diffshape,diffcolor,targetshape,targetcolor,distractorshape,distractorcolor,targetword, numclicks,date,timestamp,rttrain,rttest,object1name,object2name,object3name,attnselected
100,2,3,25,false,true,true,J,teal,D,blue,dax,0,5/8/2018,6:14,13222,"16309
",toma,blicket,gade,"dax
"
114,2,3,44,false,true,true,I,green,G,purple,toma,0,5/8/2018,10:27,6159,"4948
",sprock,dax,blicket,"toma
"
215,2,4,33,false,true,false,C,teal,D,teal,toma,3,5/8/2018,8:17,8681,"10716
",wug,gade,sprock,"toma
"
19,2,2,10,true,true,false,I,orange,A,orange,gade,2,5/8/2018,10:29,11474,"9726
",dax,sprock,toma,"gade
"
108,2,2,50,true,true,false,J,teal,F,teal,sprock,0,5/8/2018,7:35,21379,"38743
",toma,blicket,gade,"sprock
"
258,2,3,100,false,true,true,G,tan,A,blue,sprock,0,5/8/2018,10:11,4193,"6557
",dax,blicket,gade,"sprock
"
135,2,1,38,true,true,true,F,tan,A,yellow,sprock,0,5/8/2018,10:46,5834,"7194
",wug,gade,dax,"sprock
"
253,2,4,70,false,true,false,F,teal,D,teal,blicket,2,5/8/2018,9:10,6520,"8296
",dax,toma,gade,"blicket
"
14,2,2,100,true,true,false,J,gray,D,gray,sprock,0,5/8/2018,23:42,18726,"34779
",blicket,toma,gade,"sprock
"
307,2,4,67,false,true,false,F,orange,C,orange,toma,0,5/8/2018,10:12,4665,"7833
",sprock,wug,blicket,"toma
"
83,2,3,85,false,true,true,D,blue,J,orange,toma,0,5/8/2018,9:11,6920,"11088
",blicket,wug,gade,"toma
"
28,2,2,9,true,true,false,H,yellow,C,yellow,gade,0,5/8/2018,11:36,5527,"7865
",dax,sprock,toma,"gade
"
198,2,2,98,true,true,false,I,teal,J,teal,sprock,1,5/8/2018,10:05,11367,"8702
",gade,wug,dax,"sprock
"
33,2,2,31,true,true,false,J,gray,B,gray,wug,2,5/8/2018,10:30,6760,"5621
",sprock,toma,dax,"wug
"
233,2,3,99,false,true,true,A,blue,G,tan,wug,0,5/8/2018,10:10,10774,"13142
",dax,toma,gade,"wug
"
65,2,4,100,false,true,false,A,teal,D,teal,sprock,0,5/8/2018,10:23,6478,"29335
",blicket,wug,dax,"sprock
"
156,2,2,75,true,true,false,I,yellow,G,yellow,blicket,0,5/8/2018,10:14,12224,"7181
",dax,toma,wug,"blicket
"
240,2,1,7,true,true,true,I,green,J,teal,toma,0,5/8/2018,10:12,8244,"5341
",sprock,gade,wug,"toma
"
