value,score,parameter
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.7970693866934372,-3518.5219482495363,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.8573399647717156,-3518.535200135367,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.6284390736604814,-3519.595850020037,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
0.951046405404948,-3518.9568995471154,size
