value,score,parameter
0.9103143579670341,-210.95727900639227,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.9393612595299059,-211.08014669404875,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.8961838387713261,-211.1355378169382,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9049137491975208,-211.00593409993152,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9091099813011463,-210.96608699801808,size
0.9795237219096329,-212.21009419611354,size
0.9795237219096329,-212.21009419611354,size
0.9795237219096329,-212.21009419611354,size
0.9795237219096329,-212.21009419611354,size
0.9795237219096329,-212.21009419611354,size
0.9795237219096329,-212.21009419611354,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8902235513976597,-211.26142733401628,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8872340987857501,-211.33633776756207,size
0.8877515177338846,-211.32280164566313,size
0.8877515177338846,-211.32280164566313,size
0.8877515177338846,-211.32280164566313,size
0.8877515177338846,-211.32280164566313,size
0.8877515177338846,-211.32280164566313,size
0.8877515177338846,-211.32280164566313,size
0.8877515177338846,-211.32280164566313,size
0.9153383498948073,-210.9329625395351,size
0.9153383498948073,-210.9329625395351,size
0.9153383498948073,-210.9329625395351,size
0.9153383498948073,-210.9329625395351,size
0.9153383498948073,-210.9329625395351,size
0.9420499768564452,-211.12234511679907,size
0.8818431721194548,-211.49177278669046,size
0.8818431721194548,-211.49177278669046,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9185375288795878,-210.92775985805739,size
0.9175941605463098,-210.9284725132068,size
0.9175941605463098,-210.9284725132068,size
0.9175941605463098,-210.9284725132068,size
0.9175941605463098,-210.9284725132068,size
0.9175941605463098,-210.9284725132068,size
0.9175941605463098,-210.9284725132068,size
0.9175941605463098,-210.9284725132068,size
0.8819844034748259,-211.48736224502383,size
0.8819844034748259,-211.48736224502383,size
0.8819844034748259,-211.48736224502383,size
0.8819844034748259,-211.48736224502383,size
0.8819844034748259,-211.48736224502383,size
0.8681073920607076,-212.010493137482,size
0.8681073920607076,-212.010493137482,size
0.8681073920607076,-212.010493137482,size
0.8681073920607076,-212.010493137482,size
0.9288730157494638,-210.9639411411286,size
0.9288730157494638,-210.9639411411286,size
0.9288730157494638,-210.9639411411286,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.9208873204498231,-210.9289440961853,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8979718658670404,-211.10375894736657,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8758603688950046,-211.69564895354134,size
0.8636557485595158,-212.21787159937412,size
0.8661197453245617,-212.10065212180976,size
0.8661197453245617,-212.10065212180976,size
0.8661197453245617,-212.10065212180976,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
0.9013628176637176,-211.05094025707186,size
