value,score,parameter
0.6172743682599628,-2822.7557000922366,size
0.6172743682599628,-2822.7557000922366,size
1.37513257255067,-2823.587507553965,size
1.37513257255067,-2823.587507553965,size
1.37513257255067,-2823.587507553965,size
1.37513257255067,-2823.587507553965,size
1.37513257255067,-2823.587507553965,size
1.37513257255067,-2823.587507553965,size
1.37513257255067,-2823.587507553965,size
1.2700831839615427,-2821.7678357857167,size
1.2700831839615427,-2821.7678357857167,size
1.2700831839615427,-2821.7678357857167,size
1.2700831839615427,-2821.7678357857167,size
1.2700831839615427,-2821.7678357857167,size
1.2700831839615427,-2821.7678357857167,size
1.2700831839615427,-2821.7678357857167,size
1.2700831839615427,-2821.7678357857167,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
0.8115523585788723,-2820.1244028364304,size
1.2378478816831209,-2821.3117882814445,size
1.2378478816831209,-2821.3117882814445,size
1.2532555069626916,-2821.523673010986,size
1.2532555069626916,-2821.523673010986,size
1.2532555069626916,-2821.523673010986,size
1.2532555069626916,-2821.523673010986,size
1.2532555069626916,-2821.523673010986,size
0.7820712964944858,-2820.3919486517857,size
0.7820712964944858,-2820.3919486517857,size
0.7820712964944858,-2820.3919486517857,size
0.7489501140703265,-2820.748499981386,size
0.7489501140703265,-2820.748499981386,size
0.7489501140703265,-2820.748499981386,size
0.7489501140703265,-2820.748499981386,size
1.160294403819185,-2820.417151573033,size
1.160294403819185,-2820.417151573033,size
1.160294403819185,-2820.417151573033,size
1.1568448592983975,-2820.384101487039,size
1.1568448592983975,-2820.384101487039,size
1.1568448592983975,-2820.384101487039,size
1.1568448592983975,-2820.384101487039,size
1.1568448592983975,-2820.384101487039,size
1.1568448592983975,-2820.384101487039,size
1.1568448592983975,-2820.384101487039,size
1.0357582502367604,-2819.596797952532,size
1.0357582502367604,-2819.596797952532,size
0.9164786416367283,-2819.5492128830692,size
0.9164786416367283,-2819.5492128830692,size
0.9164786416367283,-2819.5492128830692,size
0.9164786416367283,-2819.5492128830692,size
0.9164786416367283,-2819.5492128830692,size
1.0528660758142905,-2819.6635115905156,size
1.0528660758142905,-2819.6635115905156,size
1.0528660758142905,-2819.6635115905156,size
1.0528660758142905,-2819.6635115905156,size
1.0528660758142905,-2819.6635115905156,size
1.0528660758142905,-2819.6635115905156,size
1.0528660758142905,-2819.6635115905156,size
1.0771247194404328,-2819.7834485329695,size
1.0771247194404328,-2819.7834485329695,size
1.0771247194404328,-2819.7834485329695,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
0.8588513684015605,-2819.7926097994127,size
1.143081617472521,-2820.258019708113,size
1.143081617472521,-2820.258019708113,size
1.143081617472521,-2820.258019708113,size
1.143081617472521,-2820.258019708113,size
0.9416331128305103,-2819.497825137556,size
1.0649665733104023,-2819.7196345019993,size
1.0649665733104023,-2819.7196345019993,size
1.0649665733104023,-2819.7196345019993,size
1.0649665733104023,-2819.7196345019993,size
1.0649665733104023,-2819.7196345019993,size
1.0649665733104023,-2819.7196345019993,size
0.9766363793855621,-2819.4812434400865,size
0.9766363793855621,-2819.4812434400865,size
0.9766363793855621,-2819.4812434400865,size
0.9766363793855621,-2819.4812434400865,size
0.9766363793855621,-2819.4812434400865,size
0.9343939730435229,-2819.509218419342,size
0.9343939730435229,-2819.509218419342,size
0.9343939730435229,-2819.509218419342,size
0.9343939730435229,-2819.509218419342,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.868231732828276,-2819.7409996634897,size
0.9480823748153497,-2819.48997996277,size
1.0689076995100646,-2819.739506452616,size
1.0689076995100646,-2819.739506452616,size
1.0689076995100646,-2819.739506452616,size
1.0689076995100646,-2819.739506452616,size
1.0689076995100646,-2819.739506452616,size
1.0689076995100646,-2819.739506452616,size
1.0689076995100646,-2819.739506452616,size
1.1593606128904985,-2820.408147681144,size
1.1593606128904985,-2820.408147681144,size
0.9811611232707312,-2819.48373813908,size
0.9811611232707312,-2819.48373813908,size
0.8673041424575639,-2819.7458947097234,size
0.8673041424575639,-2819.7458947097234,size
